rownum,emoji,grp_subgrp,desc,person_animal_other,anthro_type,gender,skin_tone,shape_type,shape_color,direction,sentiment_smileys_binary,cldr short name,codepoint,status,group,subgroup,char_len,version
839,🤦🏿‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,dark,,,,,man facepalming: dark skin tone,1F926 1F3FF 200D 2642,minimally-qualified,People & Body,person-gesture,4,E4.0
840,🤦‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,neutral,,,,,woman facepalming,1F926 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,4,E4.0
841,🤦‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,neutral,,,,,woman facepalming,1F926 200D 2640,minimally-qualified,People & Body,person-gesture,3,E4.0
842,🤦🏻‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,light,,,,,woman facepalming: light skin tone,1F926 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
843,🤦🏻‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,light,,,,,woman facepalming: light skin tone,1F926 1F3FB 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
844,🤦🏼‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-light,,,,,woman facepalming: medium-light skin tone,1F926 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
845,🤦🏼‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-light,,,,,woman facepalming: medium-light skin tone,1F926 1F3FC 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
846,🤦🏽‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium,,,,,woman facepalming: medium skin tone,1F926 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
847,🤦🏽‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium,,,,,woman facepalming: medium skin tone,1F926 1F3FD 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
848,🤦🏾‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-dark,,,,,woman facepalming: medium-dark skin tone,1F926 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
849,🤦🏾‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-dark,,,,,woman facepalming: medium-dark skin tone,1F926 1F3FE 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
850,🤦🏿‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,dark,,,,,woman facepalming: dark skin tone,1F926 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
851,🤦🏿‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,dark,,,,,woman facepalming: dark skin tone,1F926 1F3FF 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
852,🤷,People & Body_person-gesture,anthropomorphic,person,body-gesture,person,neutral,,,,,person shrugging,1F937,fully-qualified,People & Body,person-gesture,1,E3.0
853,🤷🏻,People & Body_person-gesture,anthropomorphic,person,body-gesture,person,light,,,,,person shrugging: light skin tone,1F937 1F3FB,fully-qualified,People & Body,person-gesture,2,E3.0
854,🤷🏼,People & Body_person-gesture,anthropomorphic,person,body-gesture,person,medium-light,,,,,person shrugging: medium-light skin tone,1F937 1F3FC,fully-qualified,People & Body,person-gesture,2,E3.0
855,🤷🏽,People & Body_person-gesture,anthropomorphic,person,body-gesture,person,medium,,,,,person shrugging: medium skin tone,1F937 1F3FD,fully-qualified,People & Body,person-gesture,2,E3.0
856,🤷🏾,People & Body_person-gesture,anthropomorphic,person,body-gesture,person,medium-dark,,,,,person shrugging: medium-dark skin tone,1F937 1F3FE,fully-qualified,People & Body,person-gesture,2,E3.0
857,🤷🏿,People & Body_person-gesture,anthropomorphic,person,body-gesture,person,dark,,,,,person shrugging: dark skin tone,1F937 1F3FF,fully-qualified,People & Body,person-gesture,2,E3.0
858,🤷‍♂️,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,neutral,,,,,man shrugging,1F937 200D 2642 FE0F,fully-qualified,People & Body,person-gesture,4,E4.0
859,🤷‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,neutral,,,,,man shrugging,1F937 200D 2642,minimally-qualified,People & Body,person-gesture,3,E4.0
860,🤷🏻‍♂️,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,light,,,,,man shrugging: light skin tone,1F937 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
861,🤷🏻‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,light,,,,,man shrugging: light skin tone,1F937 1F3FB 200D 2642,minimally-qualified,People & Body,person-gesture,4,E4.0
862,🤷🏼‍♂️,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,medium-light,,,,,man shrugging: medium-light skin tone,1F937 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
863,🤷🏼‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,medium-light,,,,,man shrugging: medium-light skin tone,1F937 1F3FC 200D 2642,minimally-qualified,People & Body,person-gesture,4,E4.0
864,🤷🏽‍♂️,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,medium,,,,,man shrugging: medium skin tone,1F937 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
865,🤷🏽‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,medium,,,,,man shrugging: medium skin tone,1F937 1F3FD 200D 2642,minimally-qualified,People & Body,person-gesture,4,E4.0
866,🤷🏾‍♂️,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,medium-dark,,,,,man shrugging: medium-dark skin tone,1F937 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
867,🤷🏾‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,medium-dark,,,,,man shrugging: medium-dark skin tone,1F937 1F3FE 200D 2642,minimally-qualified,People & Body,person-gesture,4,E4.0
868,🤷🏿‍♂️,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,dark,,,,,man shrugging: dark skin tone,1F937 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
869,🤷🏿‍♂,People & Body_person-gesture,anthropomorphic,person,body-gesture,male,dark,,,,,man shrugging: dark skin tone,1F937 1F3FF 200D 2642,minimally-qualified,People & Body,person-gesture,4,E4.0
870,🤷‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,neutral,,,,,woman shrugging,1F937 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,4,E4.0
871,🤷‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,neutral,,,,,woman shrugging,1F937 200D 2640,minimally-qualified,People & Body,person-gesture,3,E4.0
872,🤷🏻‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,light,,,,,woman shrugging: light skin tone,1F937 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
873,🤷🏻‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,light,,,,,woman shrugging: light skin tone,1F937 1F3FB 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
874,🤷🏼‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-light,,,,,woman shrugging: medium-light skin tone,1F937 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
875,🤷🏼‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-light,,,,,woman shrugging: medium-light skin tone,1F937 1F3FC 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
876,🤷🏽‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium,,,,,woman shrugging: medium skin tone,1F937 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
877,🤷🏽‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium,,,,,woman shrugging: medium skin tone,1F937 1F3FD 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
878,🤷🏾‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-dark,,,,,woman shrugging: medium-dark skin tone,1F937 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
879,🤷🏾‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,medium-dark,,,,,woman shrugging: medium-dark skin tone,1F937 1F3FE 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
880,🤷🏿‍♀️,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,dark,,,,,woman shrugging: dark skin tone,1F937 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture,5,E4.0
881,🤷🏿‍♀,People & Body_person-gesture,anthropomorphic,person,body-gesture,female,dark,,,,,woman shrugging: dark skin tone,1F937 1F3FF 200D 2640,minimally-qualified,People & Body,person-gesture,4,E4.0
882,🧑‍⚕️,People & Body_person-role,anthropomorphic,person,role,person,neutral,,,,,health worker,1F9D1 200D 2695 FE0F,fully-qualified,People & Body,person-role,4,E12.1
883,🧑‍⚕,People & Body_person-role,anthropomorphic,person,role,person,neutral,,,,,health worker,1F9D1 200D 2695,minimally-qualified,People & Body,person-role,3,E12.1
884,🧑🏻‍⚕️,People & Body_person-role,anthropomorphic,person,role,person,light,,,,,health worker: light skin tone,1F9D1 1F3FB 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E12.1
885,🧑🏻‍⚕,People & Body_person-role,anthropomorphic,person,role,person,light,,,,,health worker: light skin tone,1F9D1 1F3FB 200D 2695,minimally-qualified,People & Body,person-role,4,E12.1
886,🧑🏼‍⚕️,People & Body_person-role,anthropomorphic,person,role,person,medium-light,,,,,health worker: medium-light skin tone,1F9D1 1F3FC 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E12.1
887,🧑🏼‍⚕,People & Body_person-role,anthropomorphic,person,role,person,medium-light,,,,,health worker: medium-light skin tone,1F9D1 1F3FC 200D 2695,minimally-qualified,People & Body,person-role,4,E12.1
888,🧑🏽‍⚕️,People & Body_person-role,anthropomorphic,person,role,person,medium,,,,,health worker: medium skin tone,1F9D1 1F3FD 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E12.1
889,🧑🏽‍⚕,People & Body_person-role,anthropomorphic,person,role,person,medium,,,,,health worker: medium skin tone,1F9D1 1F3FD 200D 2695,minimally-qualified,People & Body,person-role,4,E12.1
890,🧑🏾‍⚕️,People & Body_person-role,anthropomorphic,person,role,person,medium-dark,,,,,health worker: medium-dark skin tone,1F9D1 1F3FE 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E12.1
891,🧑🏾‍⚕,People & Body_person-role,anthropomorphic,person,role,person,medium-dark,,,,,health worker: medium-dark skin tone,1F9D1 1F3FE 200D 2695,minimally-qualified,People & Body,person-role,4,E12.1
892,🧑🏿‍⚕️,People & Body_person-role,anthropomorphic,person,role,person,dark,,,,,health worker: dark skin tone,1F9D1 1F3FF 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E12.1
893,🧑🏿‍⚕,People & Body_person-role,anthropomorphic,person,role,person,dark,,,,,health worker: dark skin tone,1F9D1 1F3FF 200D 2695,minimally-qualified,People & Body,person-role,4,E12.1
894,👨‍⚕️,People & Body_person-role,anthropomorphic,person,role,male,neutral,,,,,man health worker,1F468 200D 2695 FE0F,fully-qualified,People & Body,person-role,4,E4.0
895,👨‍⚕,People & Body_person-role,anthropomorphic,person,role,male,neutral,,,,,man health worker,1F468 200D 2695,minimally-qualified,People & Body,person-role,3,E4.0
896,👨🏻‍⚕️,People & Body_person-role,anthropomorphic,person,role,male,light,,,,,man health worker: light skin tone,1F468 1F3FB 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
897,👨🏻‍⚕,People & Body_person-role,anthropomorphic,person,role,male,light,,,,,man health worker: light skin tone,1F468 1F3FB 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
898,👨🏼‍⚕️,People & Body_person-role,anthropomorphic,person,role,male,medium-light,,,,,man health worker: medium-light skin tone,1F468 1F3FC 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
899,👨🏼‍⚕,People & Body_person-role,anthropomorphic,person,role,male,medium-light,,,,,man health worker: medium-light skin tone,1F468 1F3FC 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
900,👨🏽‍⚕️,People & Body_person-role,anthropomorphic,person,role,male,medium,,,,,man health worker: medium skin tone,1F468 1F3FD 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
901,👨🏽‍⚕,People & Body_person-role,anthropomorphic,person,role,male,medium,,,,,man health worker: medium skin tone,1F468 1F3FD 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
902,👨🏾‍⚕️,People & Body_person-role,anthropomorphic,person,role,male,medium-dark,,,,,man health worker: medium-dark skin tone,1F468 1F3FE 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
903,👨🏾‍⚕,People & Body_person-role,anthropomorphic,person,role,male,medium-dark,,,,,man health worker: medium-dark skin tone,1F468 1F3FE 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
904,👨🏿‍⚕️,People & Body_person-role,anthropomorphic,person,role,male,dark,,,,,man health worker: dark skin tone,1F468 1F3FF 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
905,👨🏿‍⚕,People & Body_person-role,anthropomorphic,person,role,male,dark,,,,,man health worker: dark skin tone,1F468 1F3FF 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
906,👩‍⚕️,People & Body_person-role,anthropomorphic,person,role,female,neutral,,,,,woman health worker,1F469 200D 2695 FE0F,fully-qualified,People & Body,person-role,4,E4.0
907,👩‍⚕,People & Body_person-role,anthropomorphic,person,role,female,neutral,,,,,woman health worker,1F469 200D 2695,minimally-qualified,People & Body,person-role,3,E4.0
908,👩🏻‍⚕️,People & Body_person-role,anthropomorphic,person,role,female,light,,,,,woman health worker: light skin tone,1F469 1F3FB 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
909,👩🏻‍⚕,People & Body_person-role,anthropomorphic,person,role,female,light,,,,,woman health worker: light skin tone,1F469 1F3FB 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
910,👩🏼‍⚕️,People & Body_person-role,anthropomorphic,person,role,female,medium-light,,,,,woman health worker: medium-light skin tone,1F469 1F3FC 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
911,👩🏼‍⚕,People & Body_person-role,anthropomorphic,person,role,female,medium-light,,,,,woman health worker: medium-light skin tone,1F469 1F3FC 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
912,👩🏽‍⚕️,People & Body_person-role,anthropomorphic,person,role,female,medium,,,,,woman health worker: medium skin tone,1F469 1F3FD 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
913,👩🏽‍⚕,People & Body_person-role,anthropomorphic,person,role,female,medium,,,,,woman health worker: medium skin tone,1F469 1F3FD 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
914,👩🏾‍⚕️,People & Body_person-role,anthropomorphic,person,role,female,medium-dark,,,,,woman health worker: medium-dark skin tone,1F469 1F3FE 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
915,👩🏾‍⚕,People & Body_person-role,anthropomorphic,person,role,female,medium-dark,,,,,woman health worker: medium-dark skin tone,1F469 1F3FE 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
916,👩🏿‍⚕️,People & Body_person-role,anthropomorphic,person,role,female,dark,,,,,woman health worker: dark skin tone,1F469 1F3FF 200D 2695 FE0F,fully-qualified,People & Body,person-role,5,E4.0
917,👩🏿‍⚕,People & Body_person-role,anthropomorphic,person,role,female,dark,,,,,woman health worker: dark skin tone,1F469 1F3FF 200D 2695,minimally-qualified,People & Body,person-role,4,E4.0
918,🧑‍🎓,People & Body_person-role,anthropomorphic,person,role,person,neutral,,,,,student,1F9D1 200D 1F393,fully-qualified,People & Body,person-role,3,E12.1
919,🧑🏻‍🎓,People & Body_person-role,anthropomorphic,person,role,person,light,,,,,student: light skin tone,1F9D1 1F3FB 200D 1F393,fully-qualified,People & Body,person-role,4,E12.1
920,🧑🏼‍🎓,People & Body_person-role,anthropomorphic,person,role,person,medium-light,,,,,student: medium-light skin tone,1F9D1 1F3FC 200D 1F393,fully-qualified,People & Body,person-role,4,E12.1
921,🧑🏽‍🎓,People & Body_person-role,anthropomorphic,person,role,person,medium,,,,,student: medium skin tone,1F9D1 1F3FD 200D 1F393,fully-qualified,People & Body,person-role,4,E12.1
922,🧑🏾‍🎓,People & Body_person-role,anthropomorphic,person,role,person,medium-dark,,,,,student: medium-dark skin tone,1F9D1 1F3FE 200D 1F393,fully-qualified,People & Body,person-role,4,E12.1
923,🧑🏿‍🎓,People & Body_person-role,anthropomorphic,person,role,person,dark,,,,,student: dark skin tone,1F9D1 1F3FF 200D 1F393,fully-qualified,People & Body,person-role,4,E12.1
924,👨‍🎓,People & Body_person-role,anthropomorphic,person,role,male,neutral,,,,,man student,1F468 200D 1F393,fully-qualified,People & Body,person-role,3,E4.0
925,👨🏻‍🎓,People & Body_person-role,anthropomorphic,person,role,male,light,,,,,man student: light skin tone,1F468 1F3FB 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
926,👨🏼‍🎓,People & Body_person-role,anthropomorphic,person,role,male,medium-light,,,,,man student: medium-light skin tone,1F468 1F3FC 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
927,👨🏽‍🎓,People & Body_person-role,anthropomorphic,person,role,male,medium,,,,,man student: medium skin tone,1F468 1F3FD 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
928,👨🏾‍🎓,People & Body_person-role,anthropomorphic,person,role,male,medium-dark,,,,,man student: medium-dark skin tone,1F468 1F3FE 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
929,👨🏿‍🎓,People & Body_person-role,anthropomorphic,person,role,male,dark,,,,,man student: dark skin tone,1F468 1F3FF 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
930,👩‍🎓,People & Body_person-role,anthropomorphic,person,role,female,neutral,,,,,woman student,1F469 200D 1F393,fully-qualified,People & Body,person-role,3,E4.0
931,👩🏻‍🎓,People & Body_person-role,anthropomorphic,person,role,female,light,,,,,woman student: light skin tone,1F469 1F3FB 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
932,👩🏼‍🎓,People & Body_person-role,anthropomorphic,person,role,female,medium-light,,,,,woman student: medium-light skin tone,1F469 1F3FC 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
933,👩🏽‍🎓,People & Body_person-role,anthropomorphic,person,role,female,medium,,,,,woman student: medium skin tone,1F469 1F3FD 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
934,👩🏾‍🎓,People & Body_person-role,anthropomorphic,person,role,female,medium-dark,,,,,woman student: medium-dark skin tone,1F469 1F3FE 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
935,👩🏿‍🎓,People & Body_person-role,anthropomorphic,person,role,female,dark,,,,,woman student: dark skin tone,1F469 1F3FF 200D 1F393,fully-qualified,People & Body,person-role,4,E4.0
936,🧑‍🏫,People & Body_person-role,anthropomorphic,person,role,person,neutral,,,,,teacher,1F9D1 200D 1F3EB,fully-qualified,People & Body,person-role,3,E12.1
937,🧑🏻‍🏫,People & Body_person-role,anthropomorphic,person,role,person,light,,,,,teacher: light skin tone,1F9D1 1F3FB 200D 1F3EB,fully-qualified,People & Body,person-role,4,E12.1
938,🧑🏼‍🏫,People & Body_person-role,anthropomorphic,person,role,person,medium-light,,,,,teacher: medium-light skin tone,1F9D1 1F3FC 200D 1F3EB,fully-qualified,People & Body,person-role,4,E12.1
939,🧑🏽‍🏫,People & Body_person-role,anthropomorphic,person,role,person,medium,,,,,teacher: medium skin tone,1F9D1 1F3FD 200D 1F3EB,fully-qualified,People & Body,person-role,4,E12.1
940,🧑🏾‍🏫,People & Body_person-role,anthropomorphic,person,role,person,medium-dark,,,,,teacher: medium-dark skin tone,1F9D1 1F3FE 200D 1F3EB,fully-qualified,People & Body,person-role,4,E12.1
941,🧑🏿‍🏫,People & Body_person-role,anthropomorphic,person,role,person,dark,,,,,teacher: dark skin tone,1F9D1 1F3FF 200D 1F3EB,fully-qualified,People & Body,person-role,4,E12.1
942,👨‍🏫,People & Body_person-role,anthropomorphic,person,role,male,neutral,,,,,man teacher,1F468 200D 1F3EB,fully-qualified,People & Body,person-role,3,E4.0
943,👨🏻‍🏫,People & Body_person-role,anthropomorphic,person,role,male,light,,,,,man teacher: light skin tone,1F468 1F3FB 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
944,👨🏼‍🏫,People & Body_person-role,anthropomorphic,person,role,male,medium-light,,,,,man teacher: medium-light skin tone,1F468 1F3FC 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
945,👨🏽‍🏫,People & Body_person-role,anthropomorphic,person,role,male,medium,,,,,man teacher: medium skin tone,1F468 1F3FD 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
946,👨🏾‍🏫,People & Body_person-role,anthropomorphic,person,role,male,medium-dark,,,,,man teacher: medium-dark skin tone,1F468 1F3FE 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
947,👨🏿‍🏫,People & Body_person-role,anthropomorphic,person,role,male,dark,,,,,man teacher: dark skin tone,1F468 1F3FF 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
948,👩‍🏫,People & Body_person-role,anthropomorphic,person,role,female,neutral,,,,,woman teacher,1F469 200D 1F3EB,fully-qualified,People & Body,person-role,3,E4.0
949,👩🏻‍🏫,People & Body_person-role,anthropomorphic,person,role,female,light,,,,,woman teacher: light skin tone,1F469 1F3FB 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
950,👩🏼‍🏫,People & Body_person-role,anthropomorphic,person,role,female,medium-light,,,,,woman teacher: medium-light skin tone,1F469 1F3FC 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
951,👩🏽‍🏫,People & Body_person-role,anthropomorphic,person,role,female,medium,,,,,woman teacher: medium skin tone,1F469 1F3FD 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
952,👩🏾‍🏫,People & Body_person-role,anthropomorphic,person,role,female,medium-dark,,,,,woman teacher: medium-dark skin tone,1F469 1F3FE 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
953,👩🏿‍🏫,People & Body_person-role,anthropomorphic,person,role,female,dark,,,,,woman teacher: dark skin tone,1F469 1F3FF 200D 1F3EB,fully-qualified,People & Body,person-role,4,E4.0
954,🧑‍⚖️,People & Body_person-role,anthropomorphic,person,role,person,neutral,,,,,judge,1F9D1 200D 2696 FE0F,fully-qualified,People & Body,person-role,4,E12.1
955,🧑‍⚖,People & Body_person-role,anthropomorphic,person,role,person,neutral,,,,,judge,1F9D1 200D 2696,minimally-qualified,People & Body,person-role,3,E12.1
956,🧑🏻‍⚖️,People & Body_person-role,anthropomorphic,person,role,person,light,,,,,judge: light skin tone,1F9D1 1F3FB 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E12.1
957,🧑🏻‍⚖,People & Body_person-role,anthropomorphic,person,role,person,light,,,,,judge: light skin tone,1F9D1 1F3FB 200D 2696,minimally-qualified,People & Body,person-role,4,E12.1
958,🧑🏼‍⚖️,People & Body_person-role,anthropomorphic,person,role,person,medium-light,,,,,judge: medium-light skin tone,1F9D1 1F3FC 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E12.1
959,🧑🏼‍⚖,People & Body_person-role,anthropomorphic,person,role,person,medium-light,,,,,judge: medium-light skin tone,1F9D1 1F3FC 200D 2696,minimally-qualified,People & Body,person-role,4,E12.1
960,🧑🏽‍⚖️,People & Body_person-role,anthropomorphic,person,role,person,medium,,,,,judge: medium skin tone,1F9D1 1F3FD 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E12.1
961,🧑🏽‍⚖,People & Body_person-role,anthropomorphic,person,role,person,medium,,,,,judge: medium skin tone,1F9D1 1F3FD 200D 2696,minimally-qualified,People & Body,person-role,4,E12.1
962,🧑🏾‍⚖️,People & Body_person-role,anthropomorphic,person,role,person,medium-dark,,,,,judge: medium-dark skin tone,1F9D1 1F3FE 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E12.1
963,🧑🏾‍⚖,People & Body_person-role,anthropomorphic,person,role,person,medium-dark,,,,,judge: medium-dark skin tone,1F9D1 1F3FE 200D 2696,minimally-qualified,People & Body,person-role,4,E12.1
964,🧑🏿‍⚖️,People & Body_person-role,anthropomorphic,person,role,person,dark,,,,,judge: dark skin tone,1F9D1 1F3FF 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E12.1
965,🧑🏿‍⚖,People & Body_person-role,anthropomorphic,person,role,person,dark,,,,,judge: dark skin tone,1F9D1 1F3FF 200D 2696,minimally-qualified,People & Body,person-role,4,E12.1
966,👨‍⚖️,People & Body_person-role,anthropomorphic,person,role,male,neutral,,,,,man judge,1F468 200D 2696 FE0F,fully-qualified,People & Body,person-role,4,E4.0
967,👨‍⚖,People & Body_person-role,anthropomorphic,person,role,male,neutral,,,,,man judge,1F468 200D 2696,minimally-qualified,People & Body,person-role,3,E4.0
968,👨🏻‍⚖️,People & Body_person-role,anthropomorphic,person,role,male,light,,,,,man judge: light skin tone,1F468 1F3FB 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E4.0
969,👨🏻‍⚖,People & Body_person-role,anthropomorphic,person,role,male,light,,,,,man judge: light skin tone,1F468 1F3FB 200D 2696,minimally-qualified,People & Body,person-role,4,E4.0
970,👨🏼‍⚖️,People & Body_person-role,anthropomorphic,person,role,male,medium-light,,,,,man judge: medium-light skin tone,1F468 1F3FC 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E4.0
971,👨🏼‍⚖,People & Body_person-role,anthropomorphic,person,role,male,medium-light,,,,,man judge: medium-light skin tone,1F468 1F3FC 200D 2696,minimally-qualified,People & Body,person-role,4,E4.0
972,👨🏽‍⚖️,People & Body_person-role,anthropomorphic,person,role,male,medium,,,,,man judge: medium skin tone,1F468 1F3FD 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E4.0
973,👨🏽‍⚖,People & Body_person-role,anthropomorphic,person,role,male,medium,,,,,man judge: medium skin tone,1F468 1F3FD 200D 2696,minimally-qualified,People & Body,person-role,4,E4.0
974,👨🏾‍⚖️,People & Body_person-role,anthropomorphic,person,role,male,medium-dark,,,,,man judge: medium-dark skin tone,1F468 1F3FE 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E4.0
975,👨🏾‍⚖,People & Body_person-role,anthropomorphic,person,role,male,medium-dark,,,,,man judge: medium-dark skin tone,1F468 1F3FE 200D 2696,minimally-qualified,People & Body,person-role,4,E4.0
976,👨🏿‍⚖️,People & Body_person-role,anthropomorphic,person,role,male,dark,,,,,man judge: dark skin tone,1F468 1F3FF 200D 2696 FE0F,fully-qualified,People & Body,person-role,5,E4.0
977,👨🏿‍⚖,People & Body_person-role,anthropomorphic,person,role,male,dark,,,,,man judge: dark skin tone,1F468 1F3FF 200D 2696,minimally-qualified,People & Body,person-role,4,E4.0
978,👩‍⚖️,People & Body_person-role,anthropomorphic,person,role,female,neutral,,,,,woman judge,1F469 200D 2696 FE0F,fully-qualified,People & Body,person-role,4,E4.0
979,👩‍⚖,People & Body_person-role,anthropomorphic,person,role,female,neutral,,,,,woman judge,1F469 200D 2696,minimally-qualified,People & Body,person-role,3,E4.0
